iter	Passed	Remaining
0	1	159
1	3	158
2	4	145
3	5	134
4	7	133
5	8	130
6	9	128
7	11	127
8	12	125
9	13	123
10	15	121
11	16	120
12	17	118
13	19	117
14	20	115
15	21	114
16	23	112
17	24	111
18	25	110
19	27	108
20	28	107
21	29	105
22	31	104
23	32	103
24	34	103
25	36	104
26	38	103
27	40	103
28	41	101
29	42	100
30	44	98
31	45	97
32	46	95
33	48	93
34	49	92
35	51	90
36	52	89
37	53	87
38	55	86
39	56	84
40	57	82
41	58	80
42	59	78
43	60	77
44	62	75
45	63	74
46	64	73
47	66	71
48	67	70
49	68	68
50	69	67
51	71	65
52	72	64
53	73	62
54	74	61
55	75	59
56	77	58
57	78	57
58	80	55
59	81	54
60	83	53
61	84	51
62	85	50
63	87	49
64	88	47
65	90	46
66	91	45
67	92	43
68	94	42
69	95	40
70	96	39
71	98	38
72	99	36
73	101	35
74	102	34
75	103	32
76	105	31
77	106	30
78	107	28
79	109	27
80	110	25
81	112	24
82	113	23
83	114	21
84	115	20
85	117	19
86	118	17
87	119	16
88	121	14
89	122	13
90	123	12
91	125	10
92	126	9
93	127	8
94	129	6
95	130	5
96	131	4
97	133	2
98	134	1
99	135	0
