iter	Passed	Remaining
0	143	143050
1	144	72268
2	146	48623
3	147	36763
4	150	29956
5	153	25421
6	156	22218
7	158	19659
8	159	17614
9	161	15983
10	165	14893
11	168	13855
12	170	12966
13	172	12131
14	173	11403
15	174	10762
16	176	10192
17	177	9690
18	180	9334
19	182	8950
20	184	8599
21	186	8273
22	187	7981
23	189	7694
24	190	7431
25	192	7194
26	195	7045
27	196	6833
28	198	6636
29	199	6451
30	201	6284
31	202	6120
32	203	5964
33	204	5818
34	206	5682
35	207	5553
36	214	5571
37	216	5484
38	218	5373
39	219	5268
40	220	5165
41	222	5066
42	225	5019
43	228	4954
44	229	4876
45	231	4802
46	233	4729
47	234	4656
48	236	4587
49	237	4518
50	240	4480
51	242	4427
52	245	4377
53	247	4328
54	248	4271
55	250	4214
56	253	4202
57	255	4154
58	257	4101
59	258	4050
60	259	4000
61	261	3957
62	263	3911
63	264	3866
64	267	3850
65	272	3862
66	274	3824
67	276	3786
68	277	3747
69	279	3708
70	280	3669
71	284	3664
72	287	3645
73	288	3611
74	290	3578
75	291	3545
76	293	3512
77	294	3479
78	295	3447
79	297	3425
80	300	3405
81	301	3376
82	302	3340
83	303	3311
84	305	3284
85	306	3255
86	307	3228
87	311	3224
88	312	3198
89	313	3174
90	315	3150
91	316	3126
92	318	3103
93	319	3080
94	320	3057
95	322	3034
96	325	3031
97	328	3022
98	331	3015
99	332	2996
100	334	2974
101	335	2953
102	336	2933
103	342	2954
104	346	2955
105	348	2941
106	350	2927
107	352	2908
108	355	2907
109	357	2892
110	359	2881
111	361	2864
112	362	2845
113	364	2829
114	365	2812
115	366	2795
116	369	2790
117	371	2778
118	373	2768
119	375	2753
120	376	2738
121	378	2722
122	380	2714
123	382	2702
124	389	2729
125	392	2720
126	393	2703
127	394	2688
128	396	2677
129	397	2663
130	399	2650
131	403	2651
132	405	2643
133	407	2630
134	408	2617
135	409	2604
136	411	2590
137	414	2588
138	419	2596
139	421	2586
140	422	2574
141	423	2559
142	425	2548
143	430	2558
144	432	2547
145	433	2535
146	434	2523
147	436	2511
148	438	2505
149	440	2494
150	444	2496
151	448	2504
152	451	2502
153	456	2506
154	464	2534
155	466	2523
156	467	2511
157	469	2499
158	470	2488
159	471	2477
160	475	2478
161	477	2469
162	479	2460
163	480	2451
164	482	2441
165	483	2430
166	485	2419
167	486	2409
168	489	2407
169	491	2399
170	492	2389
171	494	2379
172	495	2369
173	496	2359
174	498	2349
175	500	2341
176	503	2342
177	505	2335
178	508	2331
179	509	2322
180	511	2313
181	512	2303
182	514	2296
183	515	2286
184	524	2312
185	526	2303
186	528	2298
187	530	2290
188	533	2287
189	534	2279
190	536	2272
191	538	2267
192	540	2258
193	541	2250
194	542	2241
195	544	2233
196	545	2225
197	547	2218
198	549	2211
199	550	2202
200	552	2195
201	553	2187
202	555	2180
203	556	2172
204	558	2165
205	562	2166
206	565	2166
207	568	2165
208	570	2157
209	571	2149
210	572	2141
211	574	2134
212	577	2134
213	580	2133
214	582	2125
215	584	2122
216	586	2114
217	587	2106
218	588	2099
219	589	2091
220	591	2084
221	593	2079
222	595	2076
223	598	2073
224	599	2066
225	601	2058
226	602	2051
227	604	2047
228	607	2044
229	608	2037
230	610	2033
231	612	2027
232	613	2020
233	615	2014
234	616	2007
235	617	2000
236	627	2020
237	629	2016
238	632	2014
239	634	2008
240	638	2009
241	641	2009
242	642	2002
243	644	1996
244	645	1989
245	647	1983
246	648	1976
247	651	1976
248	653	1970
249	655	1965
250	657	1962
251	658	1955
252	660	1949
253	661	1942
254	662	1936
255	665	1933
256	667	1928
257	668	1922
258	669	1916
259	671	1909
260	672	1903
261	673	1898
262	675	1892
263	676	1886
264	678	1880
265	681	1880
266	683	1877
267	686	1874
268	687	1868
269	689	1862
270	690	1857
271	691	1851
272	693	1845
273	695	1842
274	698	1840
275	699	1835
276	701	1829
277	702	1824
278	704	1819
279	705	1814
280	711	1820
281	713	1817
282	715	1813
283	717	1808
284	718	1802
285	720	1797
286	722	1795
287	724	1791
288	726	1787
289	728	1782
290	729	1777
291	731	1774
292	733	1768
293	734	1763
294	735	1758
295	738	1755
296	741	1754
297	742	1749
298	743	1744
299	745	1739
300	746	1734
301	748	1729
302	756	1739
303	760	1740
304	762	1738
305	766	1737
306	770	1739
307	772	1735
308	774	1731
309	775	1726
310	777	1721
311	778	1716
312	782	1717
313	784	1714
314	786	1710
315	788	1705
316	789	1701
317	791	1696
318	792	1691
319	794	1687
320	798	1688
321	800	1685
322	801	1680
323	803	1676
324	805	1672
325	808	1671
326	811	1669
327	812	1665
328	814	1661
329	815	1656
330	817	1651
331	818	1647
332	820	1643
333	822	1639
334	823	1634
335	827	1634
336	828	1630
337	832	1629
338	833	1625
339	835	1620
340	836	1617
341	838	1612
342	839	1607
343	843	1608
344	845	1605
345	847	1601
346	848	1597
347	850	1592
348	851	1588
349	854	1587
350	856	1584
351	859	1582
352	860	1578
353	862	1573
354	863	1569
355	865	1565
356	866	1560
357	870	1560
358	871	1556
359	873	1552
360	874	1548
361	876	1544
362	878	1541
363	879	1536
364	881	1532
365	884	1531
366	885	1527
367	887	1525
368	889	1521
369	890	1516
370	892	1512
371	893	1508
372	895	1504
373	896	1500
374	900	1501
375	902	1498
376	905	1496
377	907	1492
378	908	1488
379	909	1484
380	913	1483
381	916	1482
382	919	1481
383	921	1478
384	922	1473
385	924	1470
386	925	1466
387	929	1466
388	931	1463
389	933	1459
390	934	1455
391	935	1451
392	937	1447
393	938	1443
394	940	1439
395	942	1438
396	944	1435
397	947	1432
398	948	1429
399	950	1425
400	951	1421
401	953	1417
402	954	1414
403	958	1414
404	964	1416
405	965	1412
406	967	1409
407	969	1406
408	971	1403
409	977	1406
410	979	1404
411	981	1400
412	982	1396
413	984	1392
414	985	1389
415	988	1387
416	989	1384
417	991	1380
418	992	1376
419	993	1372
420	995	1369
421	996	1365
422	998	1361
423	999	1357
424	1000	1354
425	1009	1360
426	1011	1357
427	1013	1354
428	1014	1350
429	1016	1347
430	1023	1351
431	1025	1348
432	1027	1345
433	1028	1341
434	1030	1338
435	1031	1334
436	1035	1334
437	1037	1331
438	1039	1328
439	1041	1325
440	1042	1321
441	1043	1317
442	1045	1314
443	1046	1310
444	1050	1310
445	1051	1306
446	1053	1302
447	1054	1299
448	1055	1295
449	1057	1292
450	1058	1288
451	1060	1285
452	1061	1281
453	1064	1280
454	1066	1277
455	1068	1275
456	1070	1271
457	1071	1268
458	1073	1264
459	1074	1261
460	1076	1258
461	1079	1257
462	1081	1254
463	1084	1252
464	1085	1249
465	1086	1245
466	1088	1242
467	1089	1238
468	1090	1235
469	1100	1240
470	1101	1237
471	1103	1233
472	1104	1231
473	1106	1228
474	1114	1232
475	1116	1229
476	1118	1225
477	1119	1223
478	1121	1219
479	1122	1216
480	1125	1213
481	1126	1211
482	1129	1208
483	1130	1205
484	1131	1201
485	1133	1198
486	1134	1194
487	1135	1191
488	1140	1191
489	1142	1188
490	1144	1186
491	1145	1183
492	1147	1180
493	1148	1176
494	1150	1173
495	1153	1172
496	1155	1169
497	1158	1168
498	1160	1165
499	1162	1162
500	1163	1158
501	1165	1155
502	1168	1154
503	1169	1151
504	1171	1147
